file_name,file_name_length,file_size,file_extension,entropy,entropy_mean,entropy_std,compression_ratio,zero_byte_ratio,chi_square,chi_square_normalized,serial_byte_correlation,label,is_encrypted,valid_encryption
504860.doc,10,22016,doc,2.2633531962154367,1.8992359869853965,1.2056749940482145,0.15833938953488372,0.7453670058139535,3136295.372093023,14.9585531623942,0.7603300251126568,CLEAN,0,0
504506.pdf,10,262305,pdf,7.962488288839114,7.742426707635667,0.6306382182176271,0.8981376641695736,0.006580126188978479,16488.218947408554,9.710462049204985,0.04652780986865494,CLEAN,0,0
504512.pdf,10,228615,pdf,7.792181905489798,7.301619105246037,1.4752181852764916,0.845316361568576,0.010104323863263565,147940.49670843992,11.904572182087032,0.17081627157052634,CLEAN,0,0
504684.doc,10,255488,doc,6.789380759054406,5.7568860428730595,2.0492798138872153,0.49771809243486975,0.22097319639278556,3173536.977955912,14.970357604871774,0.36808724239019697,CLEAN,0,0
504600.xls,10,28051,xls,5.208913064637037,5.000396901395204,0.07284264446253817,0.37488859577198674,0.30130833125378775,719189.2900431355,13.485881260996038,0.3023579063302143,CLEAN,0,0
504647.doc,10,47104,doc,4.6297247671438955,3.6132950444097127,1.7433811609307834,0.33438773777173914,0.40011463994565216,2025792.1739130437,14.521471872653208,0.6447858003122634,CLEAN,0,0
504576.html,11,3898,html,4.2959847546890835,4.2959847546890835,0.0,0.41867624422780914,0.0,104237.89738327346,11.554440634068891,0.6367024954151922,CLEAN,0,0
504704.pdf,10,744185,pdf,7.76085633000697,7.279081563196229,1.3127521656746384,0.8170629614947896,0.0027506601181157913,554651.1933443968,13.22609651762468,0.15605407576357444,CLEAN,0,0
504057.csv,10,35110,csv,4.721839364822807,4.663545065515531,0.14098135871698725,0.276103674166904,0.0,588518.6578182853,13.28536560838421,0.6080691943327688,CLEAN,0,0
504803.gif,10,22045,gif,7.922805903551731,7.771937228304065,0.24804753881901404,0.9714220911771376,0.02821501474257201,4763.419868450896,8.46893106018756,-0.009395821757787925,CLEAN,0,0
504076.pdf,10,385882,pdf,7.894482836596093,7.5585242796779575,1.0896527175850115,0.8948383184496815,0.003869058416821723,102802.77687997885,11.540577371405917,0.1005440372496208,CLEAN,0,0
504608.html,11,14554,html,5.283391801008464,4.8354362629055565,0.5502320864471739,0.39473684210526316,0.0,123334.20667857632,11.722661185122695,0.5289948299305386,CLEAN,0,0
504710.pdf,10,19285,pdf,6.96647194379763,6.306250034534849,2.093665206492233,0.6724915737619912,0.0022297122115633914,138372.86217267305,11.837714447196086,0.3337971853118644,CLEAN,0,0
504402.xls,10,81839,xls,4.275518739709351,4.0673380310632385,0.1589174125787011,0.24785249086621294,0.48041887119832843,4890764.224184069,15.402859336771357,0.24460218261418423,CLEAN,0,0
504370.xls,10,24576,xls,3.4320610440649904,2.963385025038381,1.7599759396192611,0.22574869791666666,0.6114501953125,2354161.5208333316,14.671695604705226,0.5731467730997424,CLEAN,0,0
504923.pdf,10,158668,pdf,7.881686158056966,7.617721572646885,0.740142484682065,0.7499117654473492,0.00248317241031588,47596.721809060444,10.770540177919937,0.10826106719255187,CLEAN,0,0
504872.html,11,56532,html,5.268917727162208,5.1561750751591555,0.10228448444437209,0.2582077407486026,0.0,565511.6731054978,13.245487984730168,0.38956506907481314,CLEAN,0,0
504116.pdf,10,841008,pdf,7.842638227496386,7.398671017469113,1.0705644836727326,0.8547255198523677,0.009161625097502046,321999.94886136637,12.682309771296634,0.15374939010462374,CLEAN,0,0
504102.pdf,10,433538,pdf,7.741372044574948,7.554357190404021,0.3849897734392582,0.9108313458105172,0.006389289981501045,352624.6336607171,12.77316224528451,0.03904629425648132,CLEAN,0,0
504894.pdf,10,1201891,pdf,7.64276259270697,7.413121339440456,0.6211566856753123,0.7912922220068209,0.012206597769681277,1036209.6385171368,13.851081000167037,-0.03405326342260322,CLEAN,0,0
504294.doc,10,137728,doc,3.4777641853421963,2.922405910868197,1.1096114265636916,0.11809508596654275,0.6092660896840149,13078599.20817844,16.38648788054316,0.31733530712515656,CLEAN,0,0
504280.doc,10,3705344,doc,7.961348500819815,7.773037756098322,0.7412629906935714,0.9731584975645986,0.021441733884897056,348631.2014646952,12.761772781481433,0.08869482517891321,CLEAN,0,0
504988.gif,10,21453,gif,7.980977755709732,7.873014145385615,0.1327509480201499,1.000605975854193,0.006758961450612968,583.6322658835593,6.370983044249443,0.01586469047520647,CLEAN,0,0
504472.pdf,10,410272,pdf,7.943842160448734,7.657154444499948,0.5898003484524691,0.9099426721784573,0.008647921378987598,37580.065205522194,10.534255617576978,0.08742922966339836,CLEAN,0,0
504774.xls,10,80896,xls,3.866470820719734,3.4211972057063944,1.0513760422400067,0.2079212816455696,0.5335986946202531,5932373.063291141,15.595935038797224,0.09101463348783934,CLEAN,0,0
504197.swf,10,104453,swf,7.9982940981119315,7.952735143272132,0.00784317687259827,1.0003925210381703,0.0035231156596746862,246.55903612150922,5.511649083348915,-0.0024904710829637467,CLEAN,0,0
504006.xls,10,96256,xls,4.334733335948832,3.8054239939369587,1.202717753437929,0.2843666888297872,0.46915516954787234,5517958.638297874,15.523518719179858,0.2858668033067696,CLEAN,0,0
504499.pdf,10,194847,pdf,7.817368264491642,7.478813830028449,0.8022126797752901,0.8710321431687427,0.0029664300707734786,83499.58997059232,11.332608976330063,0.18759231692978984,CLEAN,0,0
504498.pdf,10,2414054,pdf,7.993900169542102,7.892304979191166,0.24279960896253838,0.9790369229520135,0.0058238133861131525,20931.619006037145,9.949063939290523,0.02142428541786153,CLEAN,0,0
504761.xls,10,68096,xls,5.424648070609618,4.733173281133723,0.7625541263582878,0.26163063909774437,0.30965108082706766,1774860.1503759406,14.389232752691592,0.40152836605664194,CLEAN,0,0
504351.ppt,10,182272,ppt,6.872380405098895,5.8758650390954745,2.778266023665109,0.693260621488764,0.1613083742977528,1739894.8567415727,14.36933581695211,0.512190552362198,CLEAN,0,0
504329.pdf,10,7674127,pdf,7.627809870509732,6.907495261813586,1.7896327095996303,0.7380556772125351,0.0023318613309370566,9817237.86207226,16.099650465851838,0.21975492362100427,CLEAN,0,0
504473.pdf,10,4433779,pdf,7.9940405179010305,7.90402420672213,0.1932108151237729,0.981256621044937,0.00858116744203985,43405.51329576869,10.6783647847676,0.06639161287615834,CLEAN,0,0
504665.html,11,108047,html,4.868798278008191,4.7984389779317675,0.17566816221945644,0.3177413532999528,0.0,1417718.0206299112,14.164559814556535,0.10941444214671564,CLEAN,0,0
