file_name,file_name_length,file_size,file_extension,entropy,entropy_mean,entropy_std,compression_ratio,zero_byte_ratio,chi_square,serial_byte_correlation,label,is_encrypted,variant,verdict,confidence_score,votes
docu3.docx,10,9926,docx,6.870281268757231,6.7916888552521675,0.47272556563483953,0.7352407817852106,0.23181543421317752,133124.92242595204,0.41713810416406377,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT3.pptx,9,1198749,pptx,7.822881906560001,7.6401210917689415,0.5332770846490174,0.8647531718483186,0.06007179150931513,1002783.3653308575,0.1649523907761876,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT1.xlsx,9,102494,xlsx,7.944503580464528,7.658517329517291,0.8172324837241222,0.9658516596093429,0.027728452397213495,16477.18816711222,0.06054296357344265,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT.csv,7,263192,csv,5.305621468490483,5.290138327530668,0.02410701680135338,0.19448919420043162,0.0,2265760.134958509,0.3574905202310507,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT2.pptx,9,879653,pptx,7.825822298460059,7.6374779918431415,0.5307355981594081,0.8636166761211523,0.05920516385438349,714591.2796511806,0.1600056569144222,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
docu2.docx,10,9926,docx,6.870281268757231,6.7916888552521675,0.47272556563483953,0.7352407817852106,0.23181543421317752,133124.92242595204,0.41713810416406377,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT3.csv,8,264670,csv,5.3081474208477974,5.293225772048134,0.022856609679542957,0.1940643064948804,0.0,2276486.7537537315,0.3552395038637315,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT3.docx,9,255598,docx,7.982719499484513,7.885029178668398,0.27196932597288936,0.9897182294071158,0.012766140580129735,8069.023623033043,0.051210104322554906,CLEAN,0,,ENCRYPTED,0.6666666666666666,"[0, 1, 1]"
DAT2.csv,8,265335,csv,5.305053300306983,5.289673717565528,0.02370080904269942,0.19344978988825448,0.0,2289955.175996382,0.3550319456755941,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
pict11.jpg,10,2765,jpg,7.588605496491412,7.588605496491412,0.0,0.915370705244123,0.033273056057866186,3579.263291139241,0.28064319939905913,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
pict10.jpg,10,2748,jpg,7.592853869823125,7.592853869823125,0.0,0.9155749636098981,0.03566229985443959,3612.128093158662,0.2574597932765865,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
pict12.jpg,10,2836,jpg,7.608261867295065,7.608261867295065,0.0,0.918194640338505,0.03455571227080395,3572.485190409028,0.2690324415177294,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DATA.xlsx,9,106668,xlsx,7.944750754333069,7.68213514128085,0.7767306817085671,0.9663629204634943,0.027599655004312447,17009.164435444556,0.059045609974804535,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT2.docx,9,256535,docx,7.983830789042762,7.897216082627679,0.23360985397205686,0.9897207008790223,0.012325803496598904,7436.827126902761,0.0493963854036367,CLEAN,0,,ENCRYPTED,0.6666666666666666,"[0, 1, 1]"
pict22.jpg,10,4238,jpg,7.734673614799901,7.125248345757948,0.6042632862190702,0.9433695139216611,0.02241623407267579,2729.4525719679104,0.16385705641428325,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
DAT3.pdf,8,248730,pdf,7.906035370964039,7.598216870005626,1.0679227526847612,0.8901057371446951,0.003546013749849234,51798.63156032647,0.10165996706300325,CLEAN,0,,NOT ENCRYPTED,0.6666666666666666,"[0, 0, 1]"
im12.png,8,89254,png,7.993159701913974,7.940694485312252,0.00967537712481138,1.0004033432675286,0.0050866067627221186,849.8599950702489,0.04063221628019865,CLEAN,0,,ENCRYPTED,0.6666666666666666,"[0, 1, 1]"
DAT1.docx,9,266190,docx,7.9839482295156134,7.901765357117301,0.22584912548096547,0.9893647394718058,0.011901273526428491,7459.074119989482,0.0552198950475348,CLEAN,0,,ENCRYPTED,0.6666666666666666,"[0, 1, 1]"
DAT2.pdf,8,250650,pdf,7.908992966498309,7.572816884268887,1.1066645616763806,0.8909435467783762,0.0034111310592459605,50155.3824855376,0.09992744119469253,CLEAN,0,,ENCRYPTED,0.6666666666666666,"[1, 0, 1]"
